course,degree_program,motivation_transfer_bachelor,motivation_transfer_hs,motivation_current_tech,motivation_job_computing,motivation_relocation,motivation_prof_dev,motivation_personal_enrich,motivation_job_displacement,motivation_it_cert,motivation_financial,motivation_career_change,motivation_career_advancement
CMP 130 Intro to IT,Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
CMP 130 Intro to IT,Computer Science,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No
CMP 130 Intro to IT,Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
CMP 128 Computer Science I,Mechanical engineering and technology,,,,,,,,,,,,
CMP 130 Intro to IT,Information Technology,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes
CMP 130 Intro to IT,Computer Science,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes
CMP 130 Intro to IT,Computer Science,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes
CMP 130 Intro to IT,Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes
CMP 130 Intro to IT,Information Technology,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No
CMP 130 Intro to IT,Information Technology,No,No,No,No,No,No,No,No,No,No,No,Yes
CMP 131 Fundamentals of Programming (Python),Computer Science,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
CMP 131 Fundamentals of Programming (Python),Computer Science,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
CMP 130 Intro to IT,Information Technology,No,No,No,No,No,No,No,No,No,No,Yes,Yes
CMP 128 Computer Science I,Computer Science,Yes,No,No,Yes,No,No,No,No,No,No,No,No
